,train,LOO
2,27121.87488778538,22194.217870012242
3,32022.636084080004,23676.690101444168
4,35232.739444276594,24411.794697335892
5,37877.579935258407,22921.572037597187
6,39639.805164714351,23748.751791350474
7,39412.53750472801,20700.545920114313
8,42217.614630637065,22921.109346634366
9,42147.439935354239,22918.258846936351
10,43573.461301830153,21197.323829102315
11,46226.629394836542,23186.042462674941
12,44781.03125065624,19029.109143369868
13,46762.211308709782,19866.654873749612
14,46250.908410622411,22525.347645659596
15,47805.400474074231,23137.323408612581
