,train,LOO
2,27697.825760582182,24077.973411859479
3,30209.34311129295,24917.689034246494
4,34324.049289104383,25770.547367681465
5,37515.727172481231,25326.019804662181
6,35634.847795951748,25615.147080209448
7,40370.705982236213,25312.061439149536
8,41573.326487498009,25836.918913321399
9,42914.743127608963,25189.542034068785
10,42825.732650287799,25675.118606574477
11,44263.941579448539,23418.993502818739
12,45591.477489784542,24739.956951094373
13,,
14,46006.349162714876,24143.423299857575
15,45988.154079219123,24220.684110925733
