,train,LOO
2,28505.050799530633,23001.448567224121
3,31118.474043242946,22514.020670628022
4,33315.511898058001,24662.829417665187
5,35470.906839347721,25400.857833360416
6,37082.26516043939,24936.45611365974
7,37827.283081834816,24507.342370445767
8,39289.033042900046,25020.166401153314
9,38910.200867295294,22765.059625976857
10,41517.442586705234,21214.380085902179
11,41404.030807491348,22156.798118980736
12,43391.718869929726,23173.848254709781
13,43897.740649327403,20428.028161849594
14,42984.113873069175,20011.057207349244
15,,
