,train,LOO,LOO_std,train_std
6,24539.543801485706,23843.551613552867,1283.22494696,527.052684815
8,25360.476109925887,24707.904145399527,1611.80686856,437.020736239
9,25619.940535946997,24720.509349897875,1669.56570715,435.468498921
10,25968.194449740047,25177.865295647898,1688.949658,524.94387997
11,26356.919770812616,25245.678948073135,1722.13745458,473.620072174
12,26705.422165419812,25588.094177468116,1655.6232183,402.739226096
13,,,,
14,,,,
15,,,,
16,27376.976478917168,26162.198154297406,1662.3466845,260.2680254
17,27471.106390333851,26142.164190148193,1690.9499649,425.003067659
18,27686.213663685958,26299.949352378542,1818.90763405,283.484505698
19,,,,
20,,,,
21,28146.386613861472,26436.31612320571,1928.24072696,255.183517012
23,,,,
25,28562.200375786801,26922.918952295255,1927.80694447,208.023719315
