,train,LOO,LOO_std,train_std
6,23810.571879878869,23061.058014957824,2350.55821002,559.389661933
8,24396.785029728388,23541.89253254604,2323.2582355,464.175051918
9,24802.199507060879,23880.889698952371,2269.74662276,581.785756409
10,25038.095744699662,24248.300786904292,2594.76004727,431.709435607
11,25242.17198957294,24173.2318519213,2472.85260041,445.049109542
12,25639.292606663308,24676.088042722189,2488.42920168,389.213767101
13,25859.653384829253,24809.726299603808,2370.99672964,382.262515618
14,26051.346475023223,24969.115995870856,2594.46192267,285.192652262
15,26171.814368367613,25054.714036607784,2391.35471238,348.148855805
16,26437.794174588598,25272.392100043991,2642.14076743,336.232582541
17,26459.607393332026,25186.058417184886,2477.13560391,253.326383823
18,,,,
19,,,,
20,27025.343131057925,25461.676998056959,2574.36165647,364.976338214
21,27076.942446604906,25439.114940333646,2365.67793623,384.854505127
23,27211.772645288602,25621.0227353062,2460.02342423,429.003175729
25,27502.535929093836,25908.078841371142,2659.55009843,327.237214005
