,train,LOO,LOO_std,train_std
6,23982.52440443372,23329.69682782927,1272.50767459,462.538813071
8,25073.012388878022,24377.059718161312,1538.18498758,441.791692183
9,,,,
10,25587.236705484975,24807.03321970893,1653.71706921,326.553888953
11,25846.694941720736,25164.575375659231,1974.36444766,390.785205086
12,,,,
13,26431.47787597866,25309.349229280975,1693.20969745,348.728259662
14,26745.436127950252,25527.055763364289,1845.14289286,389.304421588
15,26766.747581278843,25599.329420079139,1830.82965561,377.711336818
16,,,,
17,27173.818501356058,26049.622312499068,1883.00706802,374.834949601
18,27473.88588506935,26206.550117460945,1876.17176113,274.690067994
19,27424.043147742621,25961.730717958715,1775.55189278,314.700670751
20,27538.86642432183,26230.51573362865,1986.00373485,260.468834938
21,,,,
23,28079.681640381343,26456.660727575061,1861.34638993,303.282905328
25,28286.20689153704,26777.342884950125,1799.62486668,329.204833254
